id,first_like_unlike_at,first_msg,first_type,is_unmatch,like_count,p1,p1_extend_at,p2,p2_extend_at,second_like_unlike_at,second_msg,second_type,unmatch_on
0,618.2318369480555,,DISLIKE,False,2,2,,0,,613.1848625255556,,DISLIKE,
1,618.2301741702778,,DISLIKE,False,1,2,,1,,,,,
2,618.2287277813889,,DISLIKE,False,2,2,,3,,612.4679341922222,,LIKE,
3,617.2811277813889,,DISLIKE,False,1,4,,0,,,,,
4,617.2803430591666,,DISLIKE,False,1,4,,1,,,,,
5,617.2791697258333,,DISLIKE,False,2,4,,2,,608.6833230811111,,DISLIKE,
6,617.2780086147222,,DISLIKE,False,1,4,,3,,,,,
7,616.6336030591667,,DISLIKE,False,2,6,,2,,608.68233697,,DISLIKE,
8,616.0624611147222,,DISLIKE,False,2,8,,2,,608.6815528033334,,DISLIKE,
9,615.6721202813889,,DISLIKE,False,2,10,,2,,608.4560250255555,,LIKE,
10,615.6638527813889,,DISLIKE,False,2,9,,2,,608.4605586366666,,LIKE,
11,615.2645255591667,,LIKE,False,2,11,,0,,613.1740061366667,,DISLIKE,
12,614.9184441702778,,LIKE,False,2,11,585.9152740694444,1,,614.9121036366666,,LIKE,
13,614.9164238925,,LIKE,False,2,11,,3,559.3109642330555,614.84023447,,LIKE,
14,614.9151780591667,,LIKE,False,2,11,,4,,587.67006447,,DISLIKE,
15,614.9145211147222,,LIKE,False,2,11,,6,,613.8275739144444,,DISLIKE,
16,614.9137630591666,,LIKE,True,2,11,,8,,613.7000678033334,,LIKE,25.53731805888889
17,614.8633000036111,,LIKE,True,2,13,581.6073393472223,2,,608.4518255811112,,LIKE,22.75952419314815
18,614.8620586147222,,LIKE,True,2,13,,11,,614.8499722477778,,LIKE,22.75925842925926
19,614.8563519480556,,LIKE,False,2,11,,9,,610.6726139144445,,LIKE,
20,614.8532986147222,,LIKE,True,2,11,,10,,614.6856403033333,,LIKE,25.611436149166668
21,614.7318272258333,,LIKE,False,1,4,,5,,,,,
22,614.7304766702778,,DISLIKE,False,1,4,,6,,,,,
23,614.7297344480555,,DISLIKE,False,1,4,,7,,,,,
24,614.7277033369445,,DISLIKE,False,1,4,,8,,,,,
25,614.7260794480555,,DISLIKE,False,1,4,,9,,,,,
26,614.7248216702778,,DISLIKE,False,1,4,,10,,,,,
27,614.0957594480556,,DISLIKE,False,2,14,,2,,608.4483941922222,,LIKE,
28,614.0947025036111,,DISLIKE,False,2,14,,11,,613.8400866922223,,LIKE,
29,614.0637291702777,,DISLIKE,False,2,15,,2,,608.44675947,,LIKE,
30,614.0625030591667,,DISLIKE,False,2,15,,11,,613.83797197,,LIKE,
31,613.8365108369444,,LIKE,False,2,11,,16,,606.6395675255555,,DISLIKE,
32,613.8342894480555,,DISLIKE,False,1,16,,0,,,,,
33,613.8334588925,,DISLIKE,False,1,16,,1,,,,,
34,613.8325336147223,,DISLIKE,False,2,16,,2,,608.4459789144445,,LIKE,
35,613.8306300036111,,DISLIKE,False,1,16,,3,,,,,
36,613.8271472258333,,LIKE,False,2,11,,17,,607.5971905811111,,DISLIKE,
37,612.9561797258333,,DISLIKE,False,1,11,,18,,,,,
38,612.9557222258334,,DISLIKE,False,1,11,,19,,,,,
39,612.3115050036112,,DISLIKE,False,2,20,,2,,592.8249950255556,,DISLIKE,
40,612.3100169480556,,DISLIKE,False,2,20,,11,,611.5625758588889,,LIKE,
41,611.6106602813888,,DISLIKE,False,1,21,,0,,,,,
42,611.5877711147223,,DISLIKE,False,1,21,,1,,,,,
43,611.5775741702778,,DISLIKE,False,2,21,,2,,592.8232247477778,,DISLIKE,
44,611.5765886147223,,DISLIKE,False,1,21,,3,,,,,
45,611.5742186147222,,DISLIKE,False,2,21,,4,,587.6589839144444,,DISLIKE,
46,611.5608686147223,,LIKE,False,2,11,,21,,611.5220891922222,,DISLIKE,
47,611.5384702813889,,DISLIKE,False,1,21,,5,,,,,
48,611.5370386147222,,DISLIKE,False,1,21,,6,,,,,
49,611.5356852813889,,DISLIKE,False,1,21,,7,,,,,
50,611.5325397258333,,DISLIKE,False,1,21,,8,,,,,
51,611.5301822258333,,DISLIKE,False,1,21,,9,,,,,
52,611.5290883369445,,DISLIKE,False,1,21,,10,,,,,
53,611.5166269480555,,DISLIKE,False,1,21,,12,,,,,
54,611.5138661147222,,DISLIKE,False,1,21,,13,,,,,
55,611.5104519480556,,DISLIKE,False,1,21,,14,,,,,
56,611.5091800036112,,DISLIKE,False,1,21,,15,,,,,
57,611.5084922258334,,DISLIKE,False,1,21,,16,,,,,
58,611.5059922258333,,DISLIKE,False,1,21,,17,,,,,
59,611.4883850036111,,LIKE,False,1,21,,18,,,,,
60,611.4855063925,,DISLIKE,False,1,21,,19,,,,,
61,611.4839150036111,,DISLIKE,False,1,21,,20,,,,,
62,611.3077300036111,,LIKE,False,2,22,,0,585.0776045108333,610.8509047477778,,LIKE,
63,611.3057222258333,,LIKE,False,1,22,,1,,,,,
64,611.3047544480555,,LIKE,False,2,22,,2,534.1220106219445,572.2405983588889,,LIKE,
65,611.2969191702778,,LIKE,True,2,22,,3,,608.6497061366666,,LIKE,18.19173348712963
66,611.2753591702777,,LIKE,False,2,22,,4,,587.6580433588889,,DISLIKE,
67,610.9776605591667,,LIKE,False,2,23,,0,,610.8482247477777,,DISLIKE,
68,610.9751133369444,,LIKE,False,1,23,,1,,,,,
69,610.9710180591667,,LIKE,True,2,23,,3,,609.7915266922222,,LIKE,18.19182641537037
70,610.9694713925,,LIKE,False,2,23,,4,,587.6574264144444,,DISLIKE,
71,610.9660852813889,,LIKE,True,2,23,,6,,610.89169697,,LIKE,25.4534469825
72,610.9373047258333,,LIKE,False,1,23,,8,,,,,
73,610.9263283369445,,DISLIKE,False,2,23,,9,,610.67111197,,LIKE,
74,610.9184516702778,,LIKE,True,2,23,,10,,610.9109097477777,,LIKE,25.44255209824074
75,610.9148980591667,full hero,LIKE,True,2,23,,13,,585.0678378033333,,LIKE,22.75937018851852
76,610.8981997258334,,LIKE,False,1,6,,22,,,,,
77,610.7373527813888,,LIKE,False,2,23,,14,,508.7167175255556,,DISLIKE,
78,610.7067863925,,LIKE,False,1,23,,15,,,,,
79,610.7059288925,,LIKE,False,1,23,,16,,,,,
